obsid,ra,dec,
563909196 , 185.024496 , 56.382429 ,
456013042 , 158.969117 , 10.747542 ,
216712081 , 166.875388 , -1.942911 ,
346803037 , 279.228587 , 57.396643 ,
158704104 , 353.065311 , 4.754937 ,
212807025 , 203.375418 , -3.075342 ,
50905112 , 210.88856 , 8.787251 ,
158603014 , 351.852206 , 4.443815 ,
143802231 , 256.338436 , 24.853614 ,
212203211 , 191.800466 , 3.589823 ,
403016246 , 162.972867 , 25.420365 ,
156710009 , 347.334223 , 16.59712 ,
567809104 , 216.035987 , 30.297463 ,
335907144 , 224.584509 , 11.637714 ,
573609038 , 210.234963 , 21.636626 ,
439105189 , 110.65455 , 47.065303 ,
277806173 , 29.854333 , 25.910215 ,
476007050 , 52.587659 , 18.716996 ,
571313063 , 235.203601 , 20.526281 ,
146611121 , 248.433882 , 18.827908 ,
567404117 , 258.312479 , 7.640451 ,
552408143 , 199.446532 , -3.580491 ,
449206032 , 237.564018 , 3.973252 ,
105702017 , 193.514672 , -4.797492 ,
563710049 , 228.346297 , 31.922969 ,
202005190 , 186.553344 , 13.995292 ,
341408169 , 220.356229 , 29.228847 ,
439006116 , 133.293286 , 20.561003 ,
552504023 , 242.661588 , -1.434332 ,
285303200 , 9.384693 , 19.879815 ,
365609117 , 323.385673 , 4.868318 ,
381013107 , 37.253487 , -0.201056 ,
72305087 , 349.821969 , 0.900986 ,
215109151 , 160.104688 , 6.737779 ,
469111030 , 317.086796 , 17.500245 ,
367414123 , 41.134619 , -0.859505 ,
156706170 , 351.933944 , 15.989464 ,
316208111 , 210.02781 , 23.739994 ,
422212055 , 222.31892 , 3.759702 ,
223905096 , 191.665875 , 12.290777 ,
156710109 , 347.167903 , 16.214243 ,
336803033 , 235.512183 , 8.038753 ,
258101164 , 85.124503 , 15.722497 ,
299015028 , 36.467906 , 13.465162 ,
476216096 , 123.14753 , 17.033605 ,
363201154 , 37.552087 , 37.45313 ,
527208163 , 222.159091 , 1.245826 ,
459013177 , 269.414803 , 1.721616 ,
159710020 , 13.715816 , 35.183307 ,
553906100 , 186.37556 , 55.295198 ,
386113174 , 61.971025 , 6.90415 ,
202201065 , 76.475435 , 19.91965 ,
156305084 , 266.28013 , 24.385447 ,
526007100 , 206.432145 , 32.045288 ,
291312160 , 173.91673 , 16.674665 ,
296113109 , 105.65548 , 39.677638 ,
328510072 , 232.384359 , 24.016633 ,
461407231 , 263.775599 , -1.007153 ,
462203083 , 230.194217 , 27.884613 ,
226815096 , 155.9304 , 18.354573 ,
381009113 , 36.105907 , -0.046382 ,
212806130 , 204.683704 , -1.708832 ,
151013082 , 257.542628 , 39.146446 ,
496704119 , 18.590844 , 8.725264 ,
75308123 , 335.262795 , 15.261809 ,
67605091 , 324.799521 , 0.671839 ,
217708097 , 242.355111 , 17.756093 ,
295706062 , 189.277753 , 36.130384 ,
371311130 , 328.845704 , 12.516005 ,
232613069 , 228.069559 , 2.31108 ,
568002110 , 259.31507 , 37.863885 ,
4703191 , 344.915169 , 28.008587 ,
442209146 , 191.77704 , 30.810754 ,
362113206 , 289.34075 , 44.376306 ,
309601218 , 198.831415 , 16.710389 ,
144715227 , 253.496413 , 33.018096 ,
523312185 , 161.800334 , 27.576232 ,
384206159 , 30.563798 , 1.834192 ,
569214154 , 204.405807 , 18.148735 ,
500505080 , 199.303537 , 48.343761 ,
573406089 , 234.842835 , 40.221951 ,
210814148 , 146.71174 , 15.918024 ,
335404099 , 232.463547 , 16.005135 ,
528510156 , 209.38218 , 6.76629 ,
187716047 , 61.420313 , 4.133888 ,
202008033 , 188.235205 , 14.4528 ,
554113215 , 225.860916 , 36.638971 ,
507113129 , 178.068956 , 28.535922 ,
496009179 , 16.518889 , 10.598424 ,
482915220 , 43.069797 , 3.262791 ,
157013145 , 340.868761 , 12.131679 ,
177416058 , 142.488927 , 30.038987 ,
228208160 , 175.693269 , 20.80478 ,
343507244 , 184.736393 , 14.620651 ,
282601185 , 5.262175 , 43.926903 ,
281805163 , 167.324159 , 31.694058 ,
266108081 , 328.687439 , -0.837508 ,
448704201 , 241.795119 , 22.359307 ,
558313228 , 229.399851 , 29.541388 ,
156705033 , 349.094831 , 15.384949 ,
231812009 , 140.85157 , 30.092119 ,
528516025 , 208.934868 , 9.047096 ,
107309018 , 203.544599 , 19.154358 ,
233103222 , 240.242462 , 10.052029 ,
337911064 , 245.905255 , 15.05337 ,
191801085 , 94.893139 , 45.556002 ,
269615229 , 115.303964 , -0.693652 ,
136005180 , 180.099966 , -6.344127 ,
523215035 , 131.581973 , 20.249885 ,
274806080 , 133.131606 , 28.012165 ,
372503189 , 321.395543 , 8.046287 ,
197008202 , 184.211013 , 15.55895 ,
498611140 , 21.903594 , 7.621604 ,
278911060 , 37.37668 , 3.886178 ,
334312017 , 117.01122 , 42.544915 ,
368210182 , 318.380538 , 29.392524 ,
156709151 , 349.937043 , 17.326694 ,
176609053 , 11.661088 , 41.704158 ,
569513178 , 277.350915 , 25.329092 ,
472105158 , 327.369594 , -1.273507 ,
448315061 , 110.89683 , 52.709003 ,
221501110 , 206.239094 , 15.466258 ,
569402204 , 259.50358 , -4.57553 ,
407009071 , 173.257418 , -3.263967 ,
422005128 , 158.910151 , -4.950582 ,
568316151 , 240.625459 , 6.775765 ,
371307139 , 330.885825 , 8.770596 ,
449916204 , 254.597452 , 4.968295 ,
526016185 , 202.894914 , 35.332543 ,
569404081 , 261.176375 , -2.782684 ,
283904194 , 20.707116 , 36.774991 ,
546707208 , 254.52974 , 13.188765 ,
253307101 , 354.911493 , -0.168364 ,
291309042 , 173.325333 , 16.033534 ,
199612017 , 134.889274 , 33.881148 ,
335106097 , 166.962428 , -0.271657 ,
268113090 , 127.47422 , 20.102143 ,
470003122 , 344.693621 , 28.624987 ,
333008097 , 231.997449 , 32.900499 ,
76906123 , 72.094811 , 24.152828 ,
353814122 , 287.71945 , 51.05439 ,
459002231 , 266.324288 , -0.657786 ,
309605226 , 198.229027 , 18.093065 ,
461405121 , 262.839163 , 0.352405 ,
161008180 , 343.534948 , 2.516798 ,
374410060 , 79.869923 , 15.526044 ,
490307188 , 358.986073 , 27.58839 ,
297201133 , 144.093897 , 34.147937 ,
83501167 , 145.929589 , -8.077676 ,
459013088 , 269.01452 , 1.076736 ,
335302147 , 230.757878 , 14.612788 ,
367605183 , 345.35293 , 0.516051 ,
487412064 , 4.048108 , 25.271968 ,
189207071 , 141.90837 , 31.194572 ,
462107043 , 300.963177 , 12.743109 ,
476209207 , 125.44148 , 16.06811 ,
456908027 , 187.808397 , 36.176673 ,
569811172 , 229.491734 , 35.251281 ,
574813006 , 209.484993 , -2.355361 ,
418206158 , 58.130875 , 18.967521 ,
174410037 , 110.09155 , 34.211187 ,
181714173 , 103.58988 , 47.6629 ,
445701142 , 151.199578 , 1.464902 ,
278315080 , 53.854399 , 3.751341 ,
260306148 , 120.54587 , 27.714417 ,
575716137 , 288.043255 , 51.783804 ,
189204085 , 140.703239 , 32.320518 ,
153715191 , 233.422956 , 55.39806 ,
295813075 , 190.613681 , 33.159658 ,
523603159 , 200.945926 , 31.191107 ,
293313157 , 30.099266 , 30.263392 ,
154607125 , 246.484846 , 47.450975 ,
449705161 , 212.903298 , -3.736854 ,
567313227 , 235.415999 , 11.970207 ,
134016218 , 152.345411 , 26.991083 ,
256402181 , 56.857732 , 15.453992 ,
20105004 , 54.291833 , 4.241149 ,
417910166 , 139.719621 , 41.923165 ,
141415012 , 205.922583 , 1.66878 ,
241605056 , 260.890735 , 8.139931 ,
25602229 , 157.062253 , 37.792888 ,
546805144 , 95.171141 , 46.186188 ,
140114075 , 219.918837 , 8.549698 ,
278902025 , 36.167281 , 0.12179 ,
527014121 , 171.098068 , 45.544447 ,
215604142 , 122.77754 , 9.279658 ,
215108165 , 160.090463 , 5.377556 ,
187714123 , 60.528406 , 3.055002 ,
476407188 , 21.334963 , 4.882821 ,
335916194 , 221.040726 , 14.196645 ,
103616004 , 168.809976 , 11.792263 ,
447806226 , 234.71851 , 40.127983 ,
90102076 , 5.546157 , 39.688086 ,
267510224 , 350.626382 , 8.176658 ,
342706203 , 264.997352 , 15.8907 ,
308709049 , 196.564746 , 38.746437 ,
502003223 , 161.362335 , 28.536036 ,
100403034 , 122.364593 , 42.441255 ,
573611061 , 209.869329 , 22.799254 ,
242209211 , 264.569952 , 12.505955 ,
199703202 , 132.192371 , 32.744384 ,
202008030 , 188.071468 , 14.41107 ,
527205021 , 221.618808 , 0.635452 ,
58910220 , 324.378311 , 6.978121 ,
342108197 , 195.85173 , 9.991988 ,
67015114 , 320.222029 , -1.958725 ,
434813146 , 216.840326 , 0.877724 ,
321708102 , 95.322719 , 38.55791 ,
404715008 , 147.63843 , 38.866054 ,
315509128 , 187.817145 , 48.606951 ,
244114083 , 163.728778 , 4.589609 ,
457301024 , 258.423301 , -1.873372 ,
425306024 , 182.377068 , 23.565071 ,
237315202 , 171.12464 , 4.52041 ,
221503040 , 204.898769 , 16.85533 ,
457415232 , 257.41352 , 1.088223 ,
96209072 , 185.740234 , 6.759103 ,
402911149 , 114.91433 , 34.490518 ,
434512170 , 142.033768 , 34.04996 ,
528007154 , 74.355639 , 0.603391 ,
360313223 , 9.797692 , 29.990298 ,
51416174 , 236.35811 , 0.581666 ,
229708022 , 137.47121 , 14.69347 ,
68405178 , 337.260166 , 1.682419 ,
502104057 , 134.304917 , 15.063947 ,
32114210 , 139.614526 , 17.136903 ,
402815243 , 73.181694 , 15.924977 ,
492510069 , 167.443474 , -4.228462 ,
402404142 , 172.39015 , 3.194686 ,
476110069 , 83.206079 , 9.132703 ,
336805134 , 236.416963 , 7.428154 ,
215809067 , 165.526685 , 20.762203 ,
132109226 , 183.333534 , 13.041779 ,
526004129 , 204.142715 , 33.15322 ,
316011144 , 131.502599 , 22.838911 ,
321105193 , 87.678799 , 40.348986 ,
37404159 , 213.182545 , 55.397354 ,
8303160 , 50.279846 , 5.042371 ,
569410158 , 259.143369 , -3.433393 ,
51212174 , 258.883614 , 17.408678 ,
284708240 , 59.350927 , 16.156415 ,
231613112 , 230.052699 , 19.997584 ,
315409083 , 154.656199 , -0.303189 ,
256106111 , 344.36636 , 6.71322 ,
123912081 , 183.4719 , 53.519552 ,
151905225 , 237.649485 , 39.795608 ,
206509054 , 190.184158 , 5.33711 ,
419012102 , 117.8319 , 14.375204 ,
144814192 , 257.14755 , 48.459975 ,
571103236 , 197.250532 , -3.045213 ,
434016215 , 102.61189 , 43.950516 ,
220912016 , 238.577883 , 29.977243 ,
482914157 , 41.993776 , 2.376962 ,
524711105 , 102.38368 , 50.9468 ,
162402140 , 46.349621 , 20.284605 ,
142916178 , 202.25217 , 15.670668 ,
94015068 , 135.700475 , 11.368681 ,
299013225 , 38.002993 , 12.302109 ,
2606079 , 102.95019 , 28.639231 ,
206008038 , 98.980867 , 37.103404 ,
156907116 , 33.362347 , 4.589038 ,
293308081 , 29.560555 , 29.327783 ,
144312185 , 254.494909 , 16.795114 ,
258301043 , 319.90447 , 21.617598 ,
342116013 , 193.720572 , 12.222545 ,
20705156 , 143.717648 , 11.71884 ,
28604232 , 46.450453 , 28.239908 ,
339615114 , 211.257761 , 8.427747 ,
243307111 , 232.34582 , 7.028511 ,
81312045 , 142.742106 , 0.589939 ,
427512221 , 173.108652 , 11.827822 ,
211106043 , 64.801489 , 16.587599 ,
583405028 , 236.541603 , 13.165247 ,
571206055 , 209.115708 , 13.351554 ,
468709161 , 10.06963 , 35.939066 ,
567714052 , 193.448929 , 21.732929 ,
409301145 , 176.498798 , 4.868539 ,
260305120 , 118.63184 , 27.334191 ,
425302033 , 178.865514 , 23.034875 ,
196311075 , 3.902202 , 28.87821 ,
90915103 , 153.014199 , 37.225008 ,
422212244 , 222.6113 , 4.132962 ,
486701085 , 128.139304 , 27.499459 ,
419504166 , 211.695259 , 37.201967 ,
502013193 , 164.695199 , 28.926205 ,
49403093 , 255.843691 , 15.993861 ,
470005200 , 344.756975 , 27.153813 ,
450016188 , 148.889128 , 25.525854 ,
409214214 , 174.506054 , 7.069701 ,
363506208 , 293.73755 , 46.34462 ,
220207119 , 196.660907 , 9.310928 ,
369712026 , 292.660767 , 41.311728 ,
558704020 , 172.012524 , -4.250236 ,
66914240 , 317.779915 , -2.351599 ,
370212067 , 317.000577 , 3.972044 ,
219406186 , 233.7293 , 27.441438 ,
482507075 , 352.289884 , 36.964079 ,
237904221 , 245.161386 , 20.316236 ,
132101163 , 181.490768 , 11.441141 ,
296111167 , 102.66548 , 41.257743 ,
418013028 , 227.244617 , 46.887044 ,
220002113 , 98.684567 , 22.439365 ,
504913015 , 138.344248 , 36.427539 ,
188215126 , 147.584935 , 34.522371 ,
442408048 , 225.968426 , 14.664576 ,
209404085 , 140.980579 , 15.17804 ,
220312006 , 205.41467 , 9.824125 ,
487002022 , 113.90498 , 57.013241 ,
333011048 , 230.891029 , 35.322046 ,
237910043 , 243.017865 , 19.121471 ,
220714123 , 185.963792 , 11.020837 ,
173308099 , 343.685839 , 7.746512 ,
545007099 , 142.722259 , 23.423965 ,
146305114 , 177.616516 , 53.693434 ,
205028 , 44.69406 , -1.650875 ,
347205226 , 191.033551 , 7.980597 ,
212515076 , 111.52976 , 36.304094 ,
583210055 , 198.006276 , 56.328393 ,
278303019 , 54.036754 , 2.420534 ,
296215153 , 102.5505 , 40.304607 ,
450614070 , 184.677787 , 27.523762 ,
229610073 , 255.497328 , 31.790337 ,
299706218 , 188.75306 , 26.319429 ,
20505233 , 173.049073 , 29.435596 ,
482515212 , 349.622509 , 39.983719 ,
104116018 , 174.839277 , 14.217977 ,
104801134 , 166.760899 , 13.613768 ,
96205204 , 184.284515 , 4.254036 ,
315005087 , 223.320611 , 35.154015 ,
241916143 , 245.083459 , 44.392339 ,
417414089 , 226.222322 , 48.684895 ,
405008108 , 22.940933 , 39.173769 ,
568203124 , 220.366365 , 57.930018 ,
482505068 , 349.749626 , 37.909282 ,
103509241 , 172.409255 , 10.600736 ,
459007024 , 268.206615 , -0.728297 ,
363612125 , 24.681465 , 16.993123 ,
449716137 , 212.282472 , -1.050214 ,
243112094 , 287.191192 , 41.205194 ,
212814056 , 200.733971 , -1.359977 ,
104605233 , 121.529466 , 51.125781 ,
220701119 , 188.550677 , 8.373198 ,
335902189 , 220.885565 , 11.404813 ,
461713241 , 273.760945 , 20.726055 ,
