name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S4245,3917755230518812416,175.62587141493634,0.1948714583431897,13.197295778042147,0.12834903291054423,-0.08260238501555354,0.2723803043869651,-1.8562702658113268,0.3329071227405522,-1.0149799961671038,0.2540438765965753,1288.3057907583418,2.233646859955418,17.913319,626.3331233290119,14.955416380663745,1.0565834,,,NOT_AVAILABLE,,,-0.21088696,6.965433361870138E-5
S4246,3923892880519444736,175.59263147547892,0.08015481107129552,14.287608311771017,0.0529724209293193,0.00424109862011797,0.08790592501900392,-1.9580083345095276,0.15886519726223766,-1.3609065205566155,0.1039117042979082,3572.981697114668,2.6072238824802407,16.805788,1692.0968027526026,14.18485715400374,1.117712,,,NOT_AVAILABLE,5008.3335,,-0.11237599,6.697876112990793E-5
S4247,3919625778971305856,177.76042863702042,0.09817657968169499,12.109384969028369,0.07749918379635702,-0.05878097979923579,0.14681535381905295,-0.23028895986700645,0.19094304625242214,-0.7711680965411335,0.15580724217490166,2493.879480549555,2.2972433937372694,17.196177,1070.7055274200582,12.676454278419703,1.3388233,,,NOT_AVAILABLE,,,-0.2580082,3.16830365754422E-5
S4248,3919671610567224320,177.93195074008034,0.11006202352504119,12.388891858339369,0.09198007635938958,-0.36860435297516003,0.16900469767990137,-1.4696129446250965,0.2347414669431075,-0.6381475935521099,0.17206347545111736,2726.8604650408133,3.5302636044410245,17.099209,1294.1504246151649,17.263281082206397,1.1171703,,,NOT_AVAILABLE,,,-0.2650816,5.019132537193443E-5
S4249,3919678967846313344,177.8287127214745,0.07839917653621295,12.548861748092023,0.07447451034055463,0.04826956907045073,0.10506098592088062,-0.8022157662313874,0.1797608700110417,-2.530660249983538,0.150084573244171,3999.418646102667,3.502267619834807,16.683374,1857.995113778354,16.083309383081165,1.156805,,,NOT_AVAILABLE,4940.0,,-0.41946134,3.988476142686799E-5
S4250,3919673431633376896,177.99737889659988,0.1354926966223073,12.449128454575952,0.13162500802955482,0.08161121870376839,0.18924380889467943,-1.2402767476548089,0.31477353652243034,-1.8990631759124814,0.2553739039783752,2026.5443593297032,6.610027878898985,17.421476,1050.0741317471884,17.945728673265886,1.0284958,,,NOT_AVAILABLE,,,-0.33266622,7.414324991549045E-5
S4251,3913618111861079936,177.04329080830266,0.0711210109380561,11.808785508254713,0.0475975761464348,0.04806298992309672,0.08278422341799554,-3.0800168983255234,0.13371012084553352,-2.217423591415185,0.09051497588128336,5854.284239549043,3.9268305964436085,16.269682,2743.1539556423336,13.666364782703369,1.1311722,,,NOT_AVAILABLE,5163.6826,,-0.165543,1.6840294219901444E-5
S4252,3919634334546135936,177.43895092589608,0.14236274068342197,12.108515212288617,0.11264031874465598,0.30535611082802533,0.2039812407141099,-1.4290910586632688,0.27909753697821216,-1.0507409720615086,0.19408026537997436,1753.1543363582189,2.623212571220739,17.578815,823.8651017229857,11.34720127122452,1.1329288,,,NOT_AVAILABLE,,,-0.27392897,5.2205000387334464E-5
S4253,3922649191134128128,177.3604398729363,0.06573628216175063,12.331341556169424,0.06496909286066282,0.09737083755801627,0.0974224082834963,-1.576970997737111,0.14636238790431086,-0.9895508804455121,0.12393847339831499,5234.873540919185,3.940786617170073,16.3911,2403.3332177010234,11.036872238630865,1.1689711,,,NOT_AVAILABLE,4905.0,,-0.37590152,7.016690525871622E-5
S4254,3916595451909987200,176.75300216668558,0.08500504051528131,11.723621462239626,0.05328499541496778,-0.08766693262798898,0.08450476016586872,0.4611044567956844,0.1663593268402365,-1.056441868189509,0.09640873720425448,4504.820386192744,4.234469016926762,16.554173,2067.952665257022,13.085345534502318,1.1858225,,,NOT_AVAILABLE,4903.3335,,-0.12434978,1.0223122506213483E-4
