name,specobjid,ra,dec,plate,mjd,fiberid,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,fehspec,fehspecunc,psfMag_g,fiberMag_g
S2470,2998312754642708480,198.55345,24.044107,2663,54234,150,-1.412506,0.1114,160.210251,9.747072,-1.412506,0.1114,18.225359,18.572016
S2121,2984895693707044864,198.6665,22.358037,2651,54507,491,-1.972809,0.0412,18.790392,2.488102,-1.972809,0.0412,15.990884,16.328604
S951,3626626211003867136,174.37567,27.4244,3221,54864,373,-2.359856,0.0796,-67.627159,5.302539,-2.359856,0.0796,17.849348,18.184759
S2891,2722537363950561280,120.67229,11.811338,2418,53794,405,-1.892512,0.0361,111.037956,1.933212,-1.892512,0.0361,15.416332,15.750433
S2104,3314718945738516480,114.30713,65.410479,2944,54523,253,-1.699685,0.21173,41.546551,5.398673,-1.487955,0.1307,18.287855,18.584095
S3593,2301441994863437824,23.98832,24.715186,2044,53327,373,-1.847492,0.032,6.257497,1.854824,-1.847492,0.032,15.463917,15.789476
S398,3706553011087187968,260.30782,36.527069,3292,54943,329,-1.203155,5.189896E-3,-218.880539,2.092556,-1.208345,0.041207,16.675003,16.95727
S598,3703204172993241088,240.99902,18.222343,3289,54910,434,-2.05482,0.167483,-14.688016,3.465352,-1.887337,0.0295,17.695377,17.993763
S2904,2482747621811185664,242.84448,21.088343,2205,53793,503,-2.523171,0.178,-72.715294,4.349362,-1.891477,0.0561,17.649309,17.983303
S49,3799968069745483776,190.79015,34.802739,3375,55003,203,-1.817027,0.0995,-134.661575,7.746337,-1.817027,0.0995,18.37986,18.715206
S3325,2250849619531556864,186.05244,34.129694,1999,53503,639,-2.205554,0.209,-26.699429,2.400253,-9999,-9999,15.640445,15.958133
S2423,3154828511278032896,275.71447,77.302801,2802,54326,207,-1.699247,0.0703,-118.456764,3.006541,-1.699247,0.0703,16.849518,17.200678
S3742,2123601759996766208,355.62646,47.098156,1886,53237,562,-1.035602,0.119,-48.340969,1.375307,-0.135637,0.0322,14.747734,15.072569
S3172,2087551802898671616,246.38521,20.382502,1854,53566,485,-1.905057,0.0459,-21.806641,2.725266,-1.905057,0.0459,16.226837,16.529009
S3823,1766686815445608448,252.37246,21.215039,1569,53168,545,-1.919457,0.0447,-67.97332,2.282609,-1.919457,0.0447,15.35123,15.663884
S1972,3319275322427336704,248.8507,29.417034,2948,54553,445,-1.512644,0.0221,-248.842224,2.45755,-1.512644,0.0221,16.214659,16.64039
S432,3704245411024838656,254.94458,21.156598,3290,54941,126,-1.403149,0.278,-269.308228,2.536303,-1.805477,0.0374,16.924038,17.254948
S198,3857363126034997248,252.87219,20.884664,3426,54977,109,-1.653291,0.212,-15.371613,2.457188,-1.754592,0.0548,16.842983,17.154152
S802,3641317885726531584,196.05185,10.541618,3234,54885,573,-2.744602,0.183,141.919235,2.639329,-2.196141,0.0557,16.949362,17.277405
S2921,2687679821290432512,153.31851,36.503906,2387,53770,570,-1.618845,0.010047,-67.956749,2.050546,-1.608797,0.058462,16.511333,16.877104
S1904,2785586122384762880,237.67594,27.17896,2474,54564,399,-1.314845,0.141486,-87.891769,3.292323,-1.242245,0.075439,18.022409,18.33799
S832,3648077133424730112,202.0126,38.911823,3240,54883,587,-1.922338,0.0596,-87.464447,4.411997,-1.922338,0.0596,18.101366,18.342459
S2019,2768664088341932032,237.11601,26.500202,2459,54544,277,-1.745144,0.0336,-36.861237,1.876642,-1.745144,0.0336,16.374632,16.691448
