name ra  dec
S545 129.42281 6.68566 35.8
S546 130.23033 6.45763 26.2
S547 231.92793 5.64584 9.9
S548 231.70549 6.2409 30.4
S549 209.94559 19.63028 12.4
S550 209.96579 18.76732 17.0
S551 209.39094 18.60486 23.1
S552 209.34459 17.30753 11.7
S553 233.09482 7.09174 52.3
S554 231.38892 6.32444 17.2
S555 232.57066 7.98749 46.8
S556 232.29144 6.85982 28.2
S557 231.64607 7.50891 21.7
S558 231.76237 7.32413 27.5
S559 231.34045 6.95414 18.1
S560 230.64018 5.9228 10.6
S561 150.03065 64.33455 10.2
S562 152.20799 62.72127 9.5
S563 149.67403 63.90972 18.6
S564 150.27206 64.41363 13.4
S565 148.62283 63.73447 23.1
S566 141.63914 10.38526 54.1
S567 142.17361 8.34519 21.3
S568 141.91206 10.32579 13.3
S569 143.48022 10.33334 59.2
S570 141.70119 8.73277 21.5
S571 164.84595 16.22152 11.9
S572 165.15852 15.83649 27.9
S573 164.55716 15.06489 16.5
S574 163.5003 14.05754 16.0
S575 163.71197 15.10711 11.1
S576 148.9539 50.93496 39.1
S577 147.84508 50.61879 12.7
S578 241.51994 18.41738 15.3
S579 167.23566 2.90262 20.4
S580 167.17868 3.65016 19.6
S581 166.52879 3.46446 18.7
S582 166.15469 3.88796 15.3
S583 166.24182 4.09744 15.9
S584 166.24741 1.68629 11.2
S585 123.75629 64.83063 14.1
S586 121.01526 66.40093 28.8
S587 121.47136 66.59329 30.9
S588 124.54469 67.08015 30.8
S589 126.30158 66.76904 51.6
S590 126.45727 66.90272 21.2
S591 242.84988 17.01139 11.9
S592 241.65321 16.1911 26.5
S593 240.31615 17.77197 15.8
S594 240.48675 16.58171 15.2
S595 241.09138 18.41322 25.2
S596 240.74123 18.04657 10.6
S597 241.31129 18.75551 21.7
S598 240.99902 18.22234 24.0
S599 241.47183 18.83211 13.1
S600 241.43304 17.81991 18.6
S601 241.8261 17.69397 22.4
S602 242.0247 18.76974 15.5
S603 242.29132 18.43942 17.9
S604 242.86813 17.91591 12.9
