xsource_id,gsource_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S3223,4465511621168753408,248.71418437944521,0.025383026196266572,15.794356543941717,0.021478620523890657,0.13493936945184215,0.03709319895338914,-0.8395806791700329,0.049680975443059106,-7.296117705956654,0.04488863338398264,14411.78557625401,5.4623491547709415,15.291572,10610.639066408323,24.915114118729903,0.06370926,,,NOT_AVAILABLE,9566.0,,0.033209566,2.407149585817393E-5
S3224,1804978770860229632,305.8372164302325,0.03239380473507303,14.16008204786148,0.03147892067255258,0.17442539521413705,0.04542021976216016,-2.625967776092667,0.061695143322339226,0.816763098445247,0.05439470396179706,10233.23898690739,4.246993605709012,15.663333,6039.28254449087,13.936615116720374,0.62531567,,,NOT_AVAILABLE,6821.0,,0.26504916,3.931407838816303E-5
S3225,1804609060076065024,307.01021167354804,0.038070998271944496,14.296535350016322,0.046494208586815286,0.11136270781117252,0.05205808853687726,1.5596475012683,0.07800826593060532,-5.130968170376474,0.08482662133149385,11243.072175958012,6.103274144478312,15.561153,8269.413063366459,27.10468790910603,0.035455704,,,NOT_AVAILABLE,9451.0,,0.084177956,2.15109348085219E-5
S3226,1803869909085298560,307.7217637883342,0.036090856989941994,13.043532431927744,0.03725541360474966,0.17586543026108464,0.04703175754814776,0.13325544127286376,0.07016574637102693,-1.652614340508911,0.06635831212850876,8983.321620693192,4.512136801965907,15.804773,6306.3390741636285,13.585312632943571,0.1707735,,,NOT_AVAILABLE,9499.0,0.2995,0.18728095,1.8581081110328117E-5
S3227,1804207012480124288,306.01269170747105,0.02430978257655047,13.876490285287266,0.022602751671284636,0.18693671433756334,0.03014005121993115,-3.375511567663807,0.048360079020714646,-4.738324048681492,0.03953059707575679,17934.795847632682,10.639545637070661,15.054125,11097.72712501567,28.37887185502753,0.50642204,,,NOT_AVAILABLE,7281.0,,0.09699698,9.855120931359037E-6
S3228,1803748417348315264,306.8406820974912,0.03065832773047614,12.661863841958281,0.025847010850472252,0.15035749901992015,0.04255666596114817,-1.8389666318346563,0.05758751806681379,-4.215860136937245,0.04705747889534073,20772.007436673866,7.309076582413716,14.89467,14672.69146355309,25.450472859749574,0.16797256,,,NOT_AVAILABLE,9057.333,0.7397,0.12941943,1.7884667569403646E-5
S3229,1803743499611069696,307.0796755586978,0.04826132435228848,12.704436193326545,0.04854324678423268,0.08885810636475694,0.07002859537439211,-0.5107526188454315,0.09636399875185254,-2.7894588867443186,0.0861367600538215,6353.535901528666,3.987136854087877,16.180826,4278.9594563455485,13.13205450533264,0.278924,,,NOT_AVAILABLE,8612.667,0.828,0.20259935,1.4470500248119006E-5
S3230,1803831705355392768,306.52014702875533,0.035175605510491315,13.18515490173694,0.03168372122595572,0.13072223533019833,0.04771836523588455,-0.523799215023543,0.07380220673201815,-3.1623756176220983,0.05860965540623762,15537.02232545287,6.1919236906437245,15.209947,11107.373466046405,26.2757289184151,0.1286354,,,NOT_AVAILABLE,9709.0,0.5467,-0.057272494,2.6014530489554742E-5
S3231,1778729270774020992,333.48754012039757,0.057138255537198965,20.67083635482598,0.05420572975449899,0.006864817079445318,0.07042839653791697,4.114536864729696,0.11308878092553216,-1.1703868890413642,0.10591760227766027,7933.1513684233405,6.824309977778906,15.939752,5210.46401341285,13.347755836051654,0.35262108,,,NOT_AVAILABLE,8048.0,0.726,-0.35430375,1.9174789594238107E-5
S3232,1782066249909200512,333.1585312556891,0.15176173697200007,22.064978898225903,0.12459499286326518,0.04021794305369338,0.15782466259681802,1.2417904009567624,0.26780609354409846,-0.538930733506759,0.21079050762649656,1642.8714854501789,3.7482543052110446,17.649357,1090.5141605926099,13.237369315752625,0.34389496,,,NOT_AVAILABLE,,,0.030735508,4.7514417020069646E-5
S3233,1781690663608724480,331.3609650605862,0.08663974892509776,21.4312409433102,0.08326378966727013,-0.05534048729252161,0.1035449770674458,0.40603982798540245,0.19934608290560243,0.25393648433921806,0.16927873052819012,2741.4186692259304,2.8880465574425824,17.093428,1893.8709552619346,10.023527431763236,0.21326828,,,NOT_AVAILABLE,,,-0.26880893,5.4575916108494056E-5
