name, ra,  dec,
S363 , 20.6853 , 31.0547 ,
S364 , 19.2063 , 31.5261 ,
S365 , 18.6006 , 31.6884 ,
S366 , 19.112 , 32.1345 ,
S367 , 19.2768 , 31.8035 ,
S368 , 19.5315 , 32.6095 ,
S369 , 19.951 , 32.1698 ,
S370 , 20.9083 , 32.012 ,
S371 , 21.2076 , 32.3611 ,
S372 , 22.4074 , 38.1372 ,
S373 , 20.1517 , 38.6457 ,
S374 , 20.0604 , 39.8582 ,
S375 , 20.3842 , 39.9645 ,
S376 , 25.0845 , 22.676 ,
S377 , 24.8229 , 22.9751 ,
S378 , 24.3337 , 22.7079 ,
S379 , 24.1131 , 23.2482 ,
S380 , 24.1515 , 23.3639 ,
S381 , 24.1829 , 22.9364 ,
S382 , 23.9673 , 22.8468 ,
S383 , 23.8285 , 22.803 ,
S384 , 24.0223 , 24.6714 ,
S385 , 24.1013 , 24.7575 ,
S386 , 24.3199 , 24.8601 ,
S387 , 23.9178 , 23.7582 ,
S388 , 23.825 , 24.015 ,
S389 , 24.4134 , 24.6915 ,
S390 , 24.419 , 24.202 ,
S391 , 24.5993 , 24.1191 ,
S392 , 25.4988 , 24.168 ,
S393 , 31.1318 , -0.4685 ,
S394 , 30.5647 , -0.2247 ,
S395 , 30.7519 , -0.114 ,
S396 , 28.8846 , -0.119 ,
S397 , 28.7725 , -0.0725 ,
S398 , 32.2823 , 21.5347 ,
S399 , 31.9861 , 21.9005 ,
S400 , 31.8242 , 22.3027 ,
S401 , 30.921 , 22.4896 ,
S402 , 32.0575 , 23.6261 ,
S403 , 32.5738 , 22.9395 ,
S404 , 37.2662 , -8.7999 ,
S405 , 37.3876 , -8.6149 ,
S406 , 36.5976 , -9.578 ,
S407 , 36.6677 , -7.5979 ,
S408 , 37.2974 , -7.318 ,
S409 , 37.6613 , -7.5946 ,
S410 , 37.8804 , -7.3645 ,
S411 , 38.7898 , -8.1283 ,
S412 , 38.7887 , -8.4439 ,
S413 , 38.6627 , -8.2666 ,
S414 , 48.3991 , -0.2562 ,
S415 , 48.3783 , -0.1578 ,
S416 , 47.3409 , -1.228 ,
S417 , 46.8459 , -0.8207 ,
S418 , 46.7964 , 0.2104 ,
S419 , 46.7467 , 0.3349 ,
S420 , 52.9433 , -0.8084 ,
S421 , 51.746 , -0.4782 ,
S422 , 52.0385 , 0.9711 ,
S423 , 53.2965 , 0.5126 ,
S424 , 53.4036 , 0.0291 ,
S425 , 53.9348 , 0.8364 ,
S426 , 56.476 , -7.343 ,
S427 , 56.7808 , -6.6033 ,
S428 , 56.0338 , -6.5863 ,
S429 , 55.4693 , -7.5328 ,
S430 , 54.7507 , -6.6229 ,
S431 , 54.9446 , -7.2595 ,
S432 , 55.5779 , -6.1267 ,
S433 , 55.7287 , -6.0017 ,
S434 , 60.7121 , -6.1751 ,
S435 , 59.419 , -6.082 ,
S436 , 58.7172 , -6.5715 ,
S437 , 58.8339 , -6.882 ,
S438 , 58.1528 , -6.1085 ,
S439 , 58.7163 , -5.0374 ,
S440 , 58.7081 , -5.1903 ,
S441 , 58.5272 , -5.628 ,
S442 , 59.4836 , -4.8148 ,
S443 , 82.5993 , 1.1544 ,
S444 , 112.293 , 34.7879 ,
S445 , 113.7776 , 36.1016 ,
S446 , 115.3094 , 19.2594 ,
S447 , 114.5998 , 18.5724 ,
S448 , 115.7055 , 19.1893 ,
S449 , 117.5091 , 18.3144 ,
S450 , 115.2514 , 28.2385 ,
S451 , 115.5977 , 28.3209 ,
S452 , 117.535 , 28.6828 ,
S453 , 122.3537 , 6.1386 ,
S454 , 121.4426 , 5.9717 ,
S455 , 120.2395 , 7.0974 ,
S456 , 120.0909 , 7.2001 ,
S457 , 120.2613 , 6.789 ,
S458 , 121.5748 , 7.2519 ,
S459 , 125.4015 , 0.0109 ,
S460 , 124.4648 , -0.1996 ,
S461 , 123.4809 , -0.7884 ,
S462 , 122.8202 , 0.6515 ,
S463 , 123.6672 , 0.7335 ,
S464 , 124.2652 , 0.5088 ,
S465 , 123.9631 , 1.1689 ,
S466 , 19.981 , 26.4143 ,
S467 , 21.3396 , 31.4524 ,
S468 , 20.4184 , 39.6735 ,
S469 , 20.6305 , 38.4132 ,
S470 , 20.5909 , 38.4538 ,
S471 , 19.7319 , 39.5141 ,
S472 , 25.9656 , 22.7863 ,
S473 , 23.8296 , 22.5733 ,
S474 , 23.4145 , 24.3451 ,
S475 , 23.1897 , 23.7788 ,
S476 , 23.7816 , 23.88 ,
S477 , 38.237 , -7.8192 ,
S478 , 47.8011 , -1.2036 ,
S479 , 47.4686 , 0.9589 ,
S480 , 53.0457 , 0.1442 ,
S481 , 56.2493 , -6.8677 ,
S482 , 59.386 , -4.6183 ,
S483 , 59.9228 , -4.9266 ,
S484 , 111.9342 , 35.6966 ,
