name, ra,  dec,
S238 , 341.3779 , 0.129 , 8.96 ,
S239 , 356.9778 , -0.9064 , 18.19 ,
S240 , 357.2947 , -0.3348 , 53.59 ,
S241 , 356.045 , -0.4532 , 15.6 ,
S242 , 355.9572 , -0.6452 , 29.08 ,
S243 , 355.442 , -0.5562 , 21.74 ,
S244 , 354.7506 , 0.0164 , 55.98 ,
S245 , 356.4572 , 0.8489 , 16.52 ,
S246 , 356.9375 , 0.0356 , 22.09 ,
S247 , 356.8214 , -0.0606 , 8.75 ,
S248 , 356.8485 , 1.1426 , 33.15 ,
S249 , 355.8195 , -0.494 , 48.63 ,
S250 , 355.9792 , -0.2314 , 97.85 ,
S251 , 354.7919 , -0.4981 , 81.85 ,
S252 , 10.2881 , 0.8375 , 15.19 ,
S253 , 11.6833 , 1.1812 , 16.57 ,
S254 , 27.2344 , -0.0787 , 24.45 ,
S255 , 27.3019 , -0.1081 , 20.1 ,
S256 , 26.4655 , -0.4623 , 13.22 ,
S257 , 25.315 , -0.3674 , 30.62 ,
S258 , 25.5091 , -0.7279 , 31.09 ,
S259 , 24.878 , -0.7443 , 22.87 ,
S260 , 24.7989 , -0.7861 , 21.25 ,
S261 , 24.8885 , -0.7885 , 26.73 ,
S262 , 25.8671 , 0.1685 , 17.41 ,
S263 , 26.144 , 1.0003 , 15.89 ,
S264 , 27.0544 , 0.9972 , 27.86 ,
S265 , 27.0463 , -0.5553 , 30.47 ,
S266 , 25.9527 , -0.0526 , 38.63 ,
S267 , 25.2511 , -1.0001 , 35.24 ,
S268 , 26.4734 , 0.3781 , 35.43 ,
S269 , 27.127 , 0.8894 , 30.14 ,
S270 , 311.6906 , -1.1201 , 11.22 ,
S271 , 311.147 , -1.0028 , 22.47 ,
S272 , 311.3673 , -0.5466 , 16.44 ,
S273 , 310.6945 , -0.3344 , 16.31 ,
S274 , 310.5392 , -0.6835 , 9.76 ,
S275 , 310.6394 , -1.2292 , 9.69 ,
S276 , 310.5671 , -1.1883 , 14.26 ,
S277 , 309.9635 , -0.5165 , 16.57 ,
S278 , 309.9435 , -0.2036 , 27.4 ,
S279 , 310.0233 , -0.3634 , 18.97 ,
S280 , 310.089 , -0.6723 , 16.36 ,
S281 , 310.2205 , 0.0381 , 23.91 ,
S282 , 310.4149 , 0.3675 , 16.45 ,
S283 , 311.3914 , 0.9783 , 9.79 ,
S284 , 311.9012 , 0.6066 , 23.82 ,
S285 , 310.7072 , -1.137 , 31.72 ,
S286 , 311.2613 , -0.3753 , 53.31 ,
S287 , 312.2717 , 0.0982 , 43.1 ,
S288 , 345.5952 , -9.6129 , 20.77 ,
S289 , 344.8818 , -10.0297 , 22.92 ,
S290 , 343.356 , -9.8408 , 16.61 ,
S291 , 343.7896 , -8.4958 , 12.41 ,
S292 , 343.7144 , -9.2018 , 24.51 ,
S293 , 343.6044 , -8.8282 , 16.7 ,
S294 , 343.8794 , -9.3439 , 19.15 ,
S295 , 344.2129 , -9.2949 , 13.27 ,
S296 , 344.1381 , -9.2626 , 51.83 ,
S297 , 344.5518 , -8.8368 , 17.87 ,
S298 , 343.5027 , -9.6514 , 42.12 ,
S299 , 7.2383 , -10.621 , 24.37 ,
S300 , 7.1761 , -10.5593 , 17.77 ,
S301 , 6.6523 , -10.8212 , 26.2 ,
S302 , 6.9897 , -10.4321 , 13.36 ,
S303 , 6.142 , -10.5143 , 26.88 ,
S304 , 4.5743 , -10.3348 , 18.71 ,
S305 , 4.6051 , -10.3765 , 20.69 ,
S306 , 4.9537 , -9.4345 , 17.56 ,
S307 , 6.2133 , -9.1133 , 19.72 ,
S308 , 6.5616 , -9.9069 , 22.97 ,
S309 , 6.571 , -9.0313 , 26.78 ,
S310 , 4.9102 , -10.3417 , 36.82 ,
S311 , 4.6492 , -10.4042 , 38.75 ,
S312 , 5.6387 , -8.7856 , 34.87 ,
S313 , 25.2805 , -10.3393 , 22.12 ,
S314 , 25.493 , -9.9862 , 22.22 ,
S315 , 23.2742 , -8.5602 , 19.1 ,
S316 , 22.9667 , -9.1477 , 14.52 ,
S317 , 23.7274 , -8.5642 , 26.49 ,
S318 , 23.6417 , -8.3375 , 22.93 ,
S319 , 24.6081 , -9.2215 , 21.15 ,
S320 , 312.8192 , -6.6396 , 11.04 ,
S321 , 312.6272 , -6.4771 , 19.78 ,
S322 , 312.3426 , -6.8909 , 22.63 ,
S323 , 312.3921 , -6.2633 , 21.58 ,
S324 , 312.3493 , -6.2323 , 11.47 ,
S325 , 311.8488 , -6.5903 , 22.96 ,
S326 , 311.6623 , -6.6786 , 11.0 ,
S327 , 310.2805 , -6.3191 , 19.51 ,
S328 , 310.7602 , -4.8446 , 9.56 ,
S329 , 310.7444 , -4.9451 , 20.26 ,
S330 , 311.0874 , -4.9543 , 8.43 ,
S331 , 311.3604 , -5.9574 , 19.65 ,
S332 , 311.4579 , -5.7529 , 14.84 ,
S333 , 311.5145 , -5.4037 , 18.96 ,
S334 , 311.5148 , -4.8439 , 12.45 ,
S335 , 312.2376 , -5.8732 , 17.58 ,
S336 , 312.1585 , -5.2979 , 8.58 ,
S337 , 312.2237 , -5.0257 , 26.49 ,
S338 , 312.472 , -5.0173 , 39.65 ,
S339 , 317.8656 , -0.1764 , 11.97 ,
S340 , 317.3542 , -0.5837 , 9.41 ,
S341 , 316.8947 , -0.2286 , 19.15 ,
S342 , 316.8985 , -1.2306 , 21.21 ,
S343 , 316.8032 , -0.6339 , 29.05 ,
S344 , 317.2222 , 0.0102 , 16.35 ,
